Dharma_Drum_Authority_No,Main_Name,Birth,Death
A001144,規庵祖圓,+1261-01-01 ~ +1261-12-31,+1313-02-04 ~ +1314-01-24
A001146,通幻寂靈,+1322-01-01 ~ +1322-12-31,+1391-02-13 ~ +1392-02-01
A001147,通旭,+1649-01-01 ~ +1649-12-31,+1698-11-03 ~ +1699-01-30
A001148,通門,+1599-01-27 ~ +1600-02-13,+1671-12-15
A001150,通容,+1593-06-22,+1661-04-27
A001152,通理,+1701-01-01 ~ +1701-12-31,+1782-07-22
A001153,通琇,+1614-05-28,+1675-09-28
A001155,通際,+1608-08-20,+1645-03-05
A001156,通潤,+1565-01-01 ~ +1565-12-31,+1624-10-29
A001157,通醉,+1610-11-29,+1696-01-30
A001160,陳子良,+0575-01-01 ~ +0575-12-31,+0632-01-30 ~ +0633-02-16
A001162,陳那,+0440,+0520
A001167,陳慧,+0145 ~ +0183,+0190 ~ +0249
A001168,陸西星,+1520-01-01 ~ +1520-12-31,+1606-01-01 ~ +1606-12-31
A001170,陶善,+1756-01-01 ~ +1756-12-31,+1780-02-27
A001171,雪江宗深,+1408-01-01 ~ +1408-12-31,+1486-07-03
A001177,最澄,+0767-09-19,+0822-06-26
A001187,彭希涑,+1761-01-01 ~ +1761-12-31,+1793-11-16
A001188,彭紹升,+1740-01-01 ~ +1740-12-31,+1796-02-28
A001192,復禮,+0641 ~ +0680,+0701 ~ +0750
A001194,慧立,+0615-01-01 ~ +0615-12-31,+0665 ~ +0687
A001197,慧果,+0746-01-01 ~ +0746-12-31,+0805-09-05 ~ +0806-01-27
A001198,九頂慧泉,+1079-01-01 ~ +1079-12-31,+1145-10-11
A001202,慧運,+0800-01-01 ~ +0800-12-31,+0871-01-29 ~ +0872-02-16
A001204,慧遠,+0334-01-01 ~ +0334-12-31,+0416-09-14
A001205,慧簡,+0407-01-01 ~ +0456-12-31,+0458-01-01 ~ +0507-12-31
A001210,提雲般若,+0641 ~ +0688,+0692 ~ +0741
A001222,普莊,+1347-09-25,+1403-11-16
A001227,普照,+1158-01-01 ~ +1158-12-31,+1210-04-29
A001234,普濟,+1179-01-01 ~ +1179-12-31,+1253-02-24
A001235,普濟善救,+1347-01-01 ~ +1347-12-31,+1408-02-06 ~ +1409-01-24
A001240,景川宗隆,+1425-01-01 ~ +1425-12-31,+1500-02-09 ~ +1501-01-28
A001245,景隆,+1393-08-27,+1470-02-10 ~ +1471-01-29
A001248,景霄,+0866 ~ +0914,+0928 ~ +0965
A001253,智本,+1035-01-01 ~ +1035-12-31,+1107-02-15
A001255,智吉祥,+1003-01-01 ~ +1052-12-31,+1054-01-01 ~ +1103-12-31
A001257,智旭,+1599-06-24,+1655-02-26
A001260,智周,+0678-01-01 ~ +0678-12-31,+0733-08-09
A001261,智昇,+0681 ~ +0729,+0786 ~ +0795
A001263,智威,+0605 ~ +0673,+0680-12-27
A001269,智首,+0567-01-01 ~ +0567-12-31,+0635-04-26 ~ +0635-06-22
A001274,智祥,+1637-01-05,+1709-01-01 ~ +1709-12-31
A001275,智通,+0581 ~ +0604,+0654 ~ +0693
A001278,智沄,+1629-01-01 ~ +1629-12-31,+1700-01-01 ~ +1700-12-31
A001282,智圓,+0976-01-01 ~ +0976-12-31,+1022-03-27
A001283,智愷,+0518-01-01 ~ +0518-12-31,+0568-02-16 ~ +0568-12-29
A001289,智銓,+1609-02-04 ~ +1610-01-24,+1669-01-01 ~ +1669-12-31
A001294,智慧輪,+0813 ~ +0846,+0883 ~ +0922
A001297,智輪,+0939 ~ +0987,+0989 ~ +1038
A001301,智顗,+0539-01-01 ~ +0539-12-31,+0598-01-09
A001302,智嚴,+0671 ~ +0705,+0722 ~ +0771
A001304,智儼,+0602-01-01 ~ +0602-12-31,+0668-12-11
A001307,湛然,+0711-01-01 ~ +0711-12-31,+0782-03-27
A001310,焦竑,+1540-02-18 ~ +1541-02-05,+1620-02-04 ~ +1620-08-27
A001311,無文元選,+1323-01-01 ~ +1323-12-31,+1390-01-25 ~ +1391-02-12
A001319,道忠,+1653-01-01 ~ +1653-12-31,+1744-04-03 ~ +1745-01-31
A001323,無隱道費,+1688-01-01 ~ +1688-12-31,+1756-12-17
A001324,無羅叉,+0242 ~ +0290,+0292 ~ +0341
A001330,絕海中津,+1336-01-01 ~ +1336-12-31,+1401-01-24 ~ +1402-02-10
A001334,善果,+1079-01-01 ~ +1079-12-31,+1152-03-04
A001336,善悟,+1074-01-01 ~ +1074-12-31,+1132-01-27 ~ +1133-02-13
A001337,善珠,+0724-01-01 ~ +0724-12-31,+0797-01-01 ~ +0797-12-31
A001339,善堅,+1414-03-22,+1493-09-09
A001342,善無畏,+0637-01-01 ~ +0637-12-31,+0735-11-29
A001343,善開,+1152 ~ +1200,+1202 ~ +1251
A001349,善導,+0613-01-01 ~ +0613-12-31,+0681-04-23
A001357,菩提流支,+0459 ~ +0507,+0538 ~ +0557
A001358,菩提流志,+0572-01-01 ~ +0572-12-31,+0727-12-24
A001361,菩提達磨,+0369 ~ +0385,+0535-02-20 ~ +0536-02-09
A001364,費長房,+0522-01-01 ~ +0571-12-31,+0579-01-01 ~ +0628-12-31
A001365,慈燈,+0834 ~ +0882,+0884 ~ +0933
A001367,超見,+1614-10-17,+1688-01-01 ~ +1688-12-31
A001373,超遠,+1631-11-11,+1689-12-15
A001381,光業,+0885 ~ +0933,+0966 ~ +1015
A001382,開詗,+1634-01-01 ~ +1634-12-31,+1676-02-14 ~ +1677-02-01
A001383,隆寬,+1148-01-01 ~ +1148-12-31,+1227-01-26 ~ +1228-01-24
A001387,雲岫,+1242-01-01 ~ +1242-12-31,+1324-02-04 ~ +1325-01-22
A001394,袾宏,+1535-01-01 ~ +1535-12-31,+1615-07-29
A001395,傳如,+1562-01-01 ~ +1562-12-31,+1624-02-19 ~ +1625-02-06
A001402,圓仁,+0794-01-01 ~ +0794-12-31,+0864-02-15 ~ +0865-02-03
A001404,圓至,+1256-01-01 ~ +1256-12-31,+1298-02-19 ~ +1299-02-08
A001405,圓行,+0799-01-01 ~ +0799-12-31,+0852-01-29 ~ +0853-02-15
A001408,圓信,+1571-01-01 ~ +1571-12-31,+1647-09-24
A001409,圓珍,+0814-01-01 ~ +0814-12-31,+0891-02-17 ~ +0892-02-05
A001410,圓修,+1575-01-01 ~ +1575-12-31,+1635-11-02
A001411,克勤,+1063-01-01 ~ +1063-12-31,+1135-09-21
A001414,圓測,+0613-01-01 ~ +0613-12-31,+0696-08-28
A001416,圓暉,+0663 ~ +0711,+0724 ~ +0773
A001417,圓照,+0718,+0799 ~ +0805
A001419,圓爾,+1202-01-01 ~ +1202-12-31,+1280-02-09 ~ +1281-01-28
A001426,愚中周及,+1323-01-01 ~ +1323-12-31,+1409-01-25 ~ +1410-02-12
A001427,親鸞,+1173-01-01 ~ +1173-12-31,+1262-01-29 ~ +1263-02-16
A001438,會寧,+0610 ~ +0648,+0684 ~ +0724
A001439,楚圓,+0986-01-01 ~ +0986-12-31,+1039-02-06
A001440,楊文會,+1837-12-13,+1911-10-08
A001443,楊起元,+1547-01-01 ~ +1547-12-31,+1599-01-01 ~ +1599-12-31
A001444,楊衒之,+0498 ~ +0546,+0548 ~ +0597
A001446,楊億,+0974-01-01 ~ +0974-12-31,+1020-02-03 ~ +1021-02-20
A001447,源空,+1133-01-01 ~ +1133-12-31,+1212-02-12 ~ +1213-01-30
A001448,源信,+0942-01-01 ~ +0942-12-31,+1017-05-27 ~ +1018-01-25
A001456,金聖歎,+1608-01-01 ~ +1608-12-31,+1661-08-07
A001458,萬天懿,+0512 ~ +0561,+0565 ~ +0614
A001459,萬仞道坦,+1698-02-11 ~ +1699-01-30,+1775-07-06
A001462,義天,+1055-01-01 ~ +1055-12-31,+1101-10-31 ~ +1101-11-29
A001464,義忠,+0661 ~ +0680,+0732 ~ +0751
A001466,義青,+1032-01-01 ~ +1032-12-31,+1083-05-29
A001469,義寂,+0634 ~ +0683,+0706 ~ +0755
